E	 M	.gitignore	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-calendar__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-calendar__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-calendar__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-calendar__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-children__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-children__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-children__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-children__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-children__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-home__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-home__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-home__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-home__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-home__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-learning__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-learning__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-learning__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-learning__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-learning__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-messages__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-messages__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-messages__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-messages__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-messages__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-mobile-nav-open__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-mobile-nav-open__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-mobile-nav-open__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-parent-help-assistant-open__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-parent-help-assistant-open__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-parent-help-assistant-open__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-parent-help-assistant-open__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-parent-help-assistant-open__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-providers__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-providers__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-providers__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-providers__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-providers__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-he-calendar__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-he-calendar__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-he-home__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-he-home__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-help-assistant-open-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-help-assistant-open-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-help-assistant-open-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-help-assistant-open-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-help-assistant-open-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-he-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-he-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-he-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-he-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-home-he-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-learning-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-learning-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-learning-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-learning-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-learning-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-messages-help-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-messages-help-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
